Name,Year,Team,Age,Pos.,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,Total RAA,/144
심우준,2022,KT,27,SS,129,124,1048.1,74,0,211,298,16,464,80.6,97.0,4.37,-0.82,-0.68,0.4,,-1.11,-1.21
최정,2022,SSG,35,3B,117,115,958.1,61,1,71,170,12,246,69.9,95.3,2.26,1.61,-0.14,0.38,-0.02,1.84,2.18
최정,2023,SSG,36,3B,114,112,934.1,55,0,70,175,13,193,64.8,95.0,2.36,-9.59,1.58,0.69,0.02,-7.31,-8.23
최정,2024,SSG,37,3B,35,33,265.0,12,0,15,40,4,34,52.9,93.2,1.87,-2.64,-0.01,0.0,0.03,-2.62,-10.18
김성욱,2023,NC,30,LF,31,19,167.2,0,0,37,0,0,26,100.0,100.0,1.99,2.46,0.31,,,3.06,4.73
김성욱,2023,NC,30,CF,26,17,154.1,0,0,38,0,0,19,100.0,100.0,2.22,-5.17,0.21,,,-4.85,-7.51
김성욱,2023,NC,30,RF,45,5,119.2,0,0,23,1,0,8,100.0,100.0,1.81,-0.17,0.24,,,1.1,1.71
김성욱,2024,NC,31,LF,5,0,10.0,0,0,0,0,0,0,,,0.00,-0.35,0.01,,,-0.34,-1.22
김성욱,2024,NC,31,CF,35,33,278.1,0,0,76,1,0,32,100.0,100.0,"2.49,",1.45,0.41,,,1.39,5.01
김성욱,2024,NC,31,RF,7,2,24.0,0,0,2,0,0,0,,100.0,0.75,0.51,0.08,,,0.29,1.03
김재호,2022,두산,37,3B,7,4,34.0,5,0,3,10,0,13,61.5,100.0,3.44,1.79,0.03,-0.38,0.12,1.55,2.19
김재호,2022,두산,37,SS,98,61,580.0,53,1,111,184,6,270,77.8,98.0,4.58,1.3,0.48,-1.03,,0.75,1.05
김재호,2023,두산,38,3B,1,0,2.0,0,0,0,1,1,0,,50.0,4.5,-0.3,-0.49,,,-0.79,-1.25
김재호,2023,두산,38,SS,86,71,611.1,29,2,119,166,9,165,75.8,96.9,4.2,7.18,-0.45,0.13,,6.87,10.87
김재호,2024,두산,39,SS,6,5,38.0,1,0,6,9,1,5,60.0,93.8,3.55,-2.15,0.14,0.66,,-1.35,-32.47
허경민,2022,두산,32,2B,1,0,2.0,0,0,0,2,0,2,100.0,100.0,9.0,0.23,0.0,,,0.23,0.27
허경민,2022,두산,32,3B,120,117,976.1,91,0,111,158,9,266,62.4,96.8,2.48,-14.19,0.36,0.24,-0.14,-13.74,-16.35
허경민,2023,두산,33,3B,126,116,997.2,46,0,90,155,5,150,66.0,98.0,2.21,5.55,2.28,-0.43,0.21,7.62,8.44
허경민,2024,두산,34,3B,42,41,331.1,15,1,21,69,3,44,56.8,96.8,2.44,4.41,0.24,0.23,-0.24,4.65,15.56
서건창,2022,LG,33,2B,63,54,474.0,40,0,98,155,4,228,80.7,98.4,4.8,-6.43,0.07,0.07,,-6.29,-11.77
서건창,2023,LG,34,2B,35,25,237.0,11,0,53,61,9,85,76.5,92.7,4.33,-1.65,-1.62,-1.32,,-4.59,-15.03
서건창,2024,KIA,35,1B,17,8,92.0,2,0,69,9,2,35,88.6,97.5,7.63,-2.77,0.23,,-0.01,-2.55,-10.8
서건창,2024,KIA,35,2B,17,7,73.2,0,0,15,23,1,13,92.3,97.4,4.64,-0.2,0.29,0.21,,0.3,1.28
류지혁,2022,KIA,28,1B,36,14,158.0,9,0,155,5,2,161,93.2,98.8,9.11,2.1,0.12,,0.3,2.52,2.86
류지혁,2022,KIA,28,2B,2,0,7.0,0,0,2,8,0,10,100.0,100.0,12.86,0.41,0.01,,,0.42,0.48
류지혁,2022,KIA,28,3B,103,93,785.2,62,0,62,139,11,210,65.2,94.8,2.3,-7.49,-0.29,0.08,-0.34,-8.05,-9.13
류지혁,2023,삼성,29,1B,26,20,176.0,7,0,160,11,0,149,95.3,100.0,8.74,-0.13,0.4,,0.05,0.32,0.35
류지혁,2023,삼성,29,2B,11,6,56.0,5,0,13,18,0,23,78.3,100.0,4.98,0.65,0.2,-0.22,,0.63,0.68
류지혁,2023,삼성,29,3B,44,35,288.0,15,0,18,52,2,47,63.8,97.2,2.19,-1.26,0.45,-0.75,0.42,-1.15,-1.25
류지혁,2023,KIA,29,1B,5,2,18.0,0,0,13,0,0,2,100.0,100.0,6.5,-0.22,0.04,,,-0.18,-0.19
류지혁,2023,KIA,29,2B,7,7,52.0,3,0,11,18,0,17,82.4,100.0,5.02,-1.88,0.19,-0.28,,-1.97,-2.15
류지혁,2023,KIA,29,3B,55,48,402.2,16,0,38,72,4,91,78.0,96.5,2.46,-4.67,0.33,-0.93,-0.17,-5.44,-5.93
류지혁,2024,삼성,30,1B,4,1,10.0,1,0,3,0,0,1,0.0,100.0,2.7,-0.66,0.02,,,-0.64,-3.82
류지혁,2024,삼성,30,2B,18,14,117.1,5,0,17,21,1,24,75.0,97.4,2.91,0.49,0.45,0.0,,0.95,5.7
류지혁,2024,삼성,30,3B,5,4,34.1,0,0,5,5,0,3,100.0,100.0,2.62,-0.45,0.13,-0.28,-0.23,-0.84,-5.02
오재일,2022,삼성,36,1B,119,112,949.0,78,3,881,77,5,939,90.8,99.5,9.09,-1.08,0.71,,-0.16,-0.53,-0.56
오재일,2023,삼성,37,1B,88,80,700.0,54,1,656,53,8,571,89.0,98.9,9.12,9.54,0.11,,0.6,10.25,13.92
오재일,2024,삼성,38,1B,8,8,62.2,6,0,60,4,0,52,88.5,100.0,9.19,-1.13,0.16,,,-0.97,-10.78
